,Unnamed: 0,Unnamed: 0.1,sid,name,address,tel,latitude,longitude,opening_time,access_guide,website,image
0,0,0,1767702612,박준훈련사애견유치원강아지훈련소애견훈련,서울특별시 중구 세종대로 136,010-2595-0109,37.5684246,126.9782701,,,,https://ldb-phinf.pstatic.net/20210829_92/1630175078473Ha24j_JPEG/guT_8sRnHMQgqWLvmQoEpmb8.jpg
1,1,1,1801606462,바우라움 강아지유치원애견훈련,서울특별시 성동구 왕십리로 241 4층 바우라움,1566-4508,37.5562273,127.0401196,매일 11:00~20:00,단체석 주차 방문접수/출장 예약 무선 인터넷 반려동물 동반 남/녀 화장실 구분,"http://www.bowraum.com/
http://blog.naver.com/bow0726
http://www.instagram.com/bowraum_official",https://ldb-phinf.pstatic.net/20201028_3/1603848786062nzRIW_JPEG/ovJ24cwpko_IxHomDBXaLQPw.jpg
2,2,2,1745897774,스타몽 강아지 유치원애견훈련,서울특별시 서초구 서초대로73길 12 세계빌딩 B1층,02-535-7942,37.4985581,127.0257556,매일 08:00~20:00 호텔 24시 운영,주차 발렛파킹 예약 반려동물 동반 남/녀 화장실 구분,"https://starmong.co.kr/
http://instagram.com/starmong_official/",https://ldb-phinf.pstatic.net/20210527_109/16220896681280RK35_JPEG/lDzvIHFW6jdBeVr4eHA9FXQ_.jpg
3,3,3,1254053911,땡일리 강아지유치원애견훈련,서울특별시 성북구 월계로32길 24,010-8374-6097,37.6187337,127.0450283,"평일 08:00~20:00 공휴일 휴무
매일 00:00~24:00 호텔링",주차 반려동물 동반,https://www.instagram.com/ddaengilri/,https://ldb-phinf.pstatic.net/20210620_10/1624178780279EH6R7_PNG/wY3BWjvL_uGA9Miti9WZ5a2Z.png
4,4,4,1324819849,24개스트하우스 강남강아지유치원반려견놀이터,서울특별시 강남구 봉은사로20길 52 지하 1층,010-5333-6004,37.503915,127.033377,매일 00:00~24:00,단체석 주차 방문접수/출장 예약 무선 인터넷 반려동물 동반 유아시설(놀이방) 남/녀 화장실 구분 장애인 편의시설,"http://24gesthouse.modoo.at/
https://www.facebook.com/jinsu.lee.944
https://www.instagram.com/24gest_house",https://ldb-phinf.pstatic.net/20210421_95/1618990218391m7VQ9_JPEG/u8UrnXgwFuxUG72K6C5qAwlI.JPG.jpg
5,5,5,13471225,강아지유치원 퍼피스쿨반려동물,서울특별시 강남구 봉은사로104길 10 동화빌딩 4층,02-554-2010,37.513723,127.0619156,매일 08:30~19:00 호텔링가능,,http://cafe.naver.com/puppyschool2007,https://ldb-phinf.pstatic.net/20150901_289/1441042453831vjEnj_JPEG/SUBMIT_1281627207993_13471225.jpg
6,6,6,1686939210,멍투게더 강아지유치원반려동물호텔,서울특별시 강남구 역삼로14길 14 명진빌딩 3층,010-5715-3963,37.4936197,127.0355055,"평일 08:00~20:00
공휴일 08:00~18:00
토요일 08:00~18:00",,"https://blog.naver.com/sycjlove/222360038727
https://open.kakao.com/o/sgbNW1dd
https://instagram.com/mung_together?utm_medium=copy_link",https://ldb-phinf.pstatic.net/20210623_102/16244198418486JHUQ_JPEG/9sOWAI4mkbbGNnRl4oiUglXz.jpg
7,7,7,1174772304,박준강아지유치원애견훈련소애견훈련,서울특별시 영등포구 영중로 15,010-6836-1284,37.5172058,126.903714,매일 08:00~22:00,,https://www.youtube.com/channel/UCDGBwpbjVfHasNjUCCB9mpQ/videos,
8,8,8,1706257057,준애견훈련소강아지유치원애견훈련,서울특별시 강남구 테헤란로 152,010-6743-1090,37.5000263,127.0365456,매일 08:00~22:00,,https://www.youtube.com/channel/UCDGBwpbjVfHasNjUCCB9mpQ/videos/,
9,9,9,1653978913,박준애견호텔강아지유치원강아지훈련소반려동물호텔,경기도 수원시 팔달구 권선로 733,010-6516-4592,37.2582833,127.0317875,매일 08:00~22:00,,https://pj1.creatorlink.net,https://ldb-phinf.pstatic.net/20210731_214/16276943847669Ekw5_JPEG/93mDugj_XvzCeLna4_-8nXoA.jpg
