,name,address,latitude,longitude
0,박준훈련사애견유치원강아지훈련소애견훈련,서울특별시 중구 세종대로 136,37.5684246,126.9782701
1,바우라움 강아지유치원애견훈련,서울특별시 성동구 왕십리로 241 4층 바우라움,37.5562273,127.0401196
2,스타몽 강아지 유치원애견훈련,서울특별시 서초구 서초대로73길 12 세계빌딩 B1층,37.4985581,127.0257556
3,땡일리 강아지유치원애견훈련,서울특별시 성북구 월계로32길 24,37.6187337,127.0450283
4,24개스트하우스 강남강아지유치원반려견놀이터,서울특별시 강남구 봉은사로20길 52 지하 1층,37.5039150,127.0333770
5,강아지유치원 퍼피스쿨반려동물,서울특별시 강남구 봉은사로104길 10 동화빌딩 4층,37.5137230,127.0619156
6,멍투게더 강아지유치원반려동물호텔,서울특별시 강남구 역삼로14길 14 명진빌딩 3층,37.4936197,127.0355055
7,박준강아지유치원애견훈련소애견훈련,서울특별시 영등포구 영중로 15,37.5172058,126.9037140
8,준애견훈련소강아지유치원애견훈련,서울특별시 강남구 테헤란로 152,37.5000263,127.0365456
9,박준애견호텔강아지유치원강아지훈련소반려동물호텔,경기도 수원시 팔달구 권선로 733,37.2582833,127.0317875
10,박준애견유치원강아지훈련소애견훈련,서울특별시 송파구 올림픽로 300,37.5125702,127.1025625
11,애견유치원강아지마을반려동물호텔,경기도 부천시 길주로 86 해피플러스 2층 209호,37.5052331,126.7519392
12,하울 애견 유치원애견훈련,서울특별시 강서구 곰달래로 227 2층.3층 하울유치원,37.5318423,126.8583111
13,독클래스애견훈련,서울특별시 용산구 회나무로42길 4 독클래스,37.5407240,126.9958678
14,도기캠프애견훈련,"서울특별시 용산구 백범로 313 롯데캐슬상가 B2층 203,204호 도기캠프",37.5400414,126.9635260
15,나무 애견유치원반려동물미용,경기도 하남시 신장로 202 2층,37.5431603,127.1989491
16,프리독스애견훈련,서울특별시 용산구 원효로 189-3 2층,37.5365996,126.9633559
